gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,cogs,csho,invt,lct,lt,ni,re,revt,costat,prcc_c
065609,20211231,2021,INDL,C,D,STD,CHRW,USD,4804.1530,7028.1120,2021.9340,19858.7900,129.1860,,3326.3420,5006.1780,844.2450,4875.7270,23102.1380,A,107.6300
065615,20211231,2021,INDL,C,D,STD,CHH,USD,761.6610,1931.8240,265.8820,452.7730,55.6090,0.0000,570.2950,1665.9420,288.9570,1270.6460,1069.2980,A,155.9900
065671,20211231,2021,INDL,C,D,STD,DRQ,USD,745.5490,1010.4260,897.1080,209.6750,34.7740,145.7240,93.6630,113.3180,-127.9960,816.5020,322.9450,A,19.6800
065689,20211231,2021,INDL,C,D,STD,MBWM,USD,,5257.7490,456.5590,15.1320,15.8400,16.1170,,4801.1900,59.0210,170.8070,198.6560,A,35.0300
065702,20211231,2021,INDL,C,D,STD,CWST,USD,146.4790,1283.5800,422.4570,566.8140,51.4110,9.7290,152.1930,861.1230,41.1000,-230.1020,889.2110,A,85.4200
065710,20211231,2021,INDL,C,D,STD,EPR,USD,,5801.1500,2617.8910,222.9890,74.8080,0.0000,,3183.1110,98.6060,-994.9310,525.5930,A,47.4900
065718,20211231,2021,INDL,C,D,STD,GPI,USD,1666.2000,5749.4000,1825.3000,11041.3000,17.1760,1073.1000,1543.6000,3924.1000,554.6000,2189.6000,13481.9000,A,195.2200
065772,20211231,2021,INDL,C,D,STD,MTD,USD,1269.3580,3326.7980,171.4210,1501.5700,22.8430,414.5430,1146.5380,3155.3770,768.9850,5604.0480,3717.9300,A,1697.2100
065796,20211231,2021,INDL,C,D,STD,MOFG,USD,,6025.1280,527.4750,13.1490,15.6710,13.2740,,5497.6530,69.4860,234.5000,219.2190,A,32.3700
065831,20211231,2021,INDL,C,D,STD,SAH,USD,2084.1000,4975.1000,1076.4000,10482.1000,40.7220,1261.2000,1891.7000,3898.7000,348.9000,1050.4000,12396.4000,A,49.4500
065886,20211231,2021,INDL,C,D,STD,AMG,USD,,8876.4000,2786.4000,1047.1000,44.0000,0.0000,,4491.9000,565.7000,4481.6000,2412.4000,A,164.5100
066016,20211231,2021,INDL,C,D,STD,INGR,USD,2697.0000,6999.0000,3100.0000,5343.0000,66.6570,1172.0000,1512.0000,3810.0000,117.0000,3002.0000,6894.0000,A,96.6400
066032,20211231,2021,INDL,C,D,STD,POWI,USD,686.8150,1014.4870,912.0320,308.4610,59.9130,99.2660,72.3210,102.4550,164.4130,749.7030,703.2770,A,92.8900
066065,20211231,2021,INDL,C,D,STD,URI,USD,2151.0000,20292.0000,5991.0000,4215.0000,72.4210,164.0000,2603.0000,14301.0000,1386.0000,7380.0000,9716.0000,A,332.2900
066235,20211231,2021,INDL,C,D,STD,HOPE,USD,,17889.0610,2092.9830,41.5620,120.0060,101.6460,,15796.0780,204.5720,921.1490,610.1260,A,14.7100
066285,20211231,2021,INDL,C,D,STD,HFWA,USD,,7432.4120,854.4320,-22.3300,35.1060,1.4760,,6577.9800,98.0350,302.6340,244.7460,A,24.4400
066288,20211231,2021,INDL,C,D,STD,MPB,USD,,4689.4250,490.0760,17.6990,15.9580,15.4210,,4199.3490,29.3190,91.2010,144.8550,A,31.7400
066290,20210228,2020,INDL,C,D,STD,SCS,USD,1045.4000,2354.0000,960.5000,1733.7000,114.9080,193.5000,515.0000,1393.5000,26.1000,948.0000,2596.2000,A,13.5500
066354,20211231,2021,INDL,C,D,STD,WPC,USD,,15480.6300,7581.7850,624.4330,190.0140,0.0000,,7897.1790,409.9880,-2445.9010,1320.6950,A,82.0500
066368,20211231,2021,INDL,C,D,STD,VRSN,USD,1268.7350,1983.7640,-1260.5190,143.9930,110.5190,0.0000,1073.9910,3244.2830,784.8300,-14880.5570,1327.5760,A,253.8200
066371,20210930,2021,INDL,C,D,STD,IESC,USD,484.1800,766.6220,345.9530,1227.2140,20.7330,111.9620,311.6000,396.0750,66.3430,173.1340,1536.4930,A,50.6400
066393,20210630,2021,INDL,C,D,STD,MRCY,USD,643.1000,1955.1370,1484.1460,508.1580,55.2410,221.6400,150.8230,470.9910,62.0440,374.1600,923.9960,A,55.0600
066394,20211231,2021,INDL,C,D,STD,PFIS,USD,,3369.4830,340.1260,11.1720,7.1690,1.0170,,3029.3570,43.5190,198.2360,119.6930,A,52.6900
